gene	bias1	bias2	mean	SD
Sm_t00000627-RA	23.31	49.94	36.625	18.8302535829978
Sm_t00000628-RA	50	24.32	37.16	18.1585021408705
Sm_t00000629-RA	32.9	44.42	38.66	8.14587011926903
Sm_t00000630-RA	20.15	49.24	34.695	20.5697362647167
Sm_t00000632-RA	24.43	26.96	25.695	1.78898015640197
Sm_t00000636-RA	20.14	8.05	14.095	8.54892098454536
Sm_t00000637-RA	28.44	34.21	31.325	4.08000612744638
Sm_t00000638-RA	6.96	15.19	11.075	5.81948880916529
Sm_t00000639-RA	23.7	21.96	22.83	1.23036579926459
Sm_t00000640-RA	26.17	13.19	19.68	9.17824601980139
Sm_t00000644-RA	6.8	20.41	13.605	9.62372329194891
Sm_t00000645-RA	16.79	19.62	18.205	2.00111219075793
Sm_t00000647-RA	19.02	13.19	16.105	4.12243253431757
Sm_t00000648-RA	20.18	22.49	21.335	1.63341666454092
Sm_t00000649-RA	18.94	22.69	20.815	2.65165042944955
Sm_t00000653-RA	45.85	44.43	45.14	1.0040916292849
Sm_t00000654-RA	27.92	21.63	24.775	4.44770165366339
Sm_t00000655-RA	27.15	11.53	19.34	11.0450079221339
Sm_t00000656-RA	25.62	22.36	23.99	2.30516810666815
Sm_t00000657-RA	20.42	6.83	13.625	9.60958115632518
Sm_t00000658-RA	54.71	48.31	51.51	4.5254833995939
Sm_t00000659-RA	30.38	30.8	30.59	0.296984848098351
Sm_t00000660-RA	30.02	26.38	28.2	2.57386868351903
Sm_t00000661-RA	29.51	24.82	27.165	3.31633080376491
Sm_t00000662-RA	56.77	66.7	61.735	7.02157033718242
Sm_t00000664-RA	40.13	50.91	45.52	7.62261110119098
Sm_t00000667-RA	32.9	23.17	28.035	6.8801489809451
Sm_t00000674-RA	34.17	35.53	34.85	0.961665222413704
Sm_t00000675-RA	100	100	100	0
Sm_t00000676-RA	19.35	22.86	21.105	2.48194480196478
Sm_t00000677-RA	36.07	40.7	38.385	3.27390439689372
Sm_t00000678-RA	12.89	9.63	11.26	2.30516810666814
Sm_t00000681-RA	10.19	11.94	11.065	1.23743686707646
Sm_t00000682-RA	5.51	20.34	12.925	10.4863935649965
Sm_t00000684-RA	40.37	54.29	47.33	9.84292639411674
Sm_t00000687-RA	16.69	9.94	13.315	4.7729707730092
Sm_t00000688-RA	100	100	100	0
Sm_t00000690-RA	26.02	28.85	27.435	2.00111219075793
Sm_t00000691-RA	8.75	3.13	5.94	3.9739401102684
Sm_t00000692-RA	6.73	5.84	6.285	0.629325035256028
Sm_t00000695-RA	13.84	16.46	15.15	1.85261976670876
Sm_t00000697-RA	26.36	27.92	27.14	1.10308657865102
Sm_t00000698-RA	32.11	22.62	27.365	6.71044335346034
Sm_t00000700-RA	27.21	26.25	26.73	0.678822509939086
Sm_t00000701-RA	22.59	16.56	19.575	4.26385389055488
Sm_t00000705-RA	25.96	27.63	26.795	1.18086832458153
Sm_t00000708-RA	10.49	24.05	17.27	9.58836795288958
Sm_t00000710-RA	20.77	26.62	23.695	4.1365746699413
Sm_t00000712-RA	12.98	26.92	19.95	9.85706852974047
Sm_t00000713-RA	8.49	20.57	14.53	8.54184991673349
Sm_t00000718-RA	31.55	26.91	29.23	3.28097546470558
Sm_t00000719-RA	20.02	24.96	22.49	3.49310749906155
Sm_t00000720-RA	30.79	22.98	26.885	5.52250396106693
Sm_t00000721-RA	28.21	23.33	25.77	3.45068109219035
Sm_t00000722-RA	37.5	62.5	50	17.6776695296637
Sm_t00000723-RA	11.39	19.93	15.66	6.03869191133312
Sm_t00000724-RA	30.63	46.32	38.475	11.0945053968169
Sm_t00000727-RA	45.6	21.58	33.59	16.9847048841009
Sm_t00000728-RA	30.17	24.2	27.185	4.22142748368369
Sm_t00000731-RA	30.03	17.23	23.63	9.05096679918781
Sm_t00000732-RA	19.25	23.57	21.41	3.05470129472589
Sm_t00000733-RA	16.23	17.04	16.635	0.572756492761103
Sm_t00000734-RA	20.98	14.38	17.68	4.66690475583121
Sm_t00000736-RA	44.88	52.99	48.935	5.7346359954229
Sm_t00000737-RA	21.1	23.91	22.505	1.9869700551342
Sm_t00000739-RA	43.13	45.34	44.235	1.56270598642227
Sm_t00000741-RA	24.08	48.28	36.18	17.1119841047145
Sm_t00000742-RA	49.7	50.94	50.32	0.876812408671315
Sm_t00000743-RA	12.55	9.54	11.045	2.12839141137151
Sm_t00000744-RA	26.11	21.15	23.63	3.50724963468528
Sm_t00000752-RA	0	37.78	18.89	26.7144941932278
Sm_t00000753-RA	12.79	20.52	16.655	5.46593541857201
Sm_t00000754-RA	36.76	19.44	28.1	12.247089450151
Sm_t00000755-RA	21.11	13.63	17.37	5.28915872327537
Sm_t00000757-RA	28.6	22.33	25.465	4.43355951803966
Sm_t00000759-RA	14.02	13.99	14.005	0.021213203435596
Sm_t00000760-RA	22.72	14.34	18.53	5.92555482634327
Sm_t00000761-RA	51.11	34.19	42.65	11.9642467376764
Sm_t00000762-RA	19.87	24.79	22.33	3.47896536343781
Sm_t00000763-RA	100	100	100	0
Sm_t00000764-RA	15.18	16.73	15.955	1.09601551083915
Sm_t00000767-RA	18.48	14.36	16.42	2.91327993848858
Sm_t00000769-RA	30.78	33	31.89	1.56977705423413
Sm_t00000770-RA	35.81	23.81	29.81	8.48528137423857
Sm_t00000771-RA	35.87	39.97	37.92	2.89913780286485
Sm_t00000772-RA	34.54	26.95	30.745	5.3669404692059
Sm_t00000773-RA	27.83	27.29	27.56	0.381837661840735
Sm_t00000774-RA	68.43	57.33	62.88	7.84888527117068
Sm_t00000776-RA	0	18.42	9.21	13.0249069094562
